Station,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider,Zone
El Diente Peak,10000,64,66,39,-,-,1,263,11,0.00,0.30,-,-,-,0.0,0.00,SNOTEL,North San Juan
Cochetopa Pass,10020,61,63,45,-,-,-,-,-,0.10,0.30,-,-,-,0.0,0.00,SNOTEL,North San Juan
Mineral Creek,10040,61,65,36,-,-,-,-,-,0.00,0.30,-,-,-,-,-,SNOTEL,North San Juan
Lizard Head Pass,10200,64,65,35,-,-,-,-,-,0.00,0.30,-,-,-,0.0,0.00,SNOTEL,North San Juan
Blue Park,10431,68,68,38,32,26,5,244,16,-,-,-,-,-,-,-,RAWS,North San Juan
Molas Lake,10500,62,67,37,-,-,-,-,-,0.00,0.60,-,-,-,-,0.00,SNOTEL,North San Juan
Moon Pass,11140,59,63,48,-,-,-,-,-,0.10,0.70,-,-,-,0.0,0.30,SNOTEL,North San Juan
Red Mountain Pass,11200,61,62,39,-,-,-,-,-,0.00,0.30,-,-,-,1.0,0.10,SNOTEL,North San Juan
Slumgullion,11560,59,59,44,29,32,4,286,10,0.00,0.40,-,-,-,2.0,-,SNOTEL,North San Juan
Black Mesa,11580,60,60,45,-,-,-,-,-,0.20,0.60,-,-,-,0.0,0.00,SNOTEL,North San Juan
Beartown,11600,61,61,39,-,-,-,-,-,0.00,0.30,-,-,-,0.0,0.30,SNOTEL,North San Juan
Senator Beck,12210,52,54,42,29,41,7,306,-,-,-,-,-,-,0.0,0.00,USGS,North San Juan
,,,,,,,,,,,,,,,,,,North San Juan
Durango,6495,86,86,59,46,25,0,-,0,-,-,-,-,-,-,-,CDOT,South San Juan
Hesperus 13.3 SSW C,6686,-,-,-,-,-,-,-,-,-,0.00,-,0.0,-,-,-,CoCoRaHS,South San Juan
Dur-La Plata Arp,6687,84,85,45,39,20,7,270,18,-,-,-,-,-,-,-,METAR,South San Juan
CW6135 Bayfield,6979,81,84,47,40,23,9,253,12,-,-,-,-,-,-,-,APRSWXNET,South San Juan
Pagosa Springs,7262,82,86,44,41,24,6,180,14,-,-,-,-,-,-,-,CDOT,South San Juan
Mesa Mtn,7380,84,84,57,36,18,6,268,19,-,-,-,-,-,-,-,RAWS,South San Juan
K9NRG Pagosa Spring,7400,80,84,50,39,23,0,72,3,-,-,-,-,-,-,-,APRSWXNET,South San Juan
Devil Mtn,7460,84,85,56,36,18,6,192,12,-,-,-,-,-,-,-,RAWS,South San Juan
N6PTL Durango,7510,76,79,53,39,26,3,261,6,-,-,-,-,-,-,-,APRSWXNET,South San Juan
Pagosa Springs,7658,78,81,46,32,19,8,210,-,-,-,-,-,-,-,-,METAR,South San Juan
Piedra Guard Statio,7670,70,80,30,-,-,-,-,-,-,-,-,-,-,-,-,HADS,South San Juan
Vallecito Res Bayfi,7673,-,-98,-98,-,-,-,-,-,-,-,-,-,-,-,-,HADS,South San Juan
Navajo Rvr at Bande,7941,76,77,42,-,-,-,-,-,-,-,-,-,-,-,-,HADS,South San Juan
Log Chute,8254,80,80,57,37,21,4,275,15,-,-,-,-,-,-,-,RAWS,South San Juan
Rico 4SSW,8422,72,76,35,-,-,-,-,-,-,-,-,-,-,-,-,HADS,South San Juan
Sandoval Mesa,8492,80,81,58,35,20,4,277,11,-,-,-,-,-,-,-,RAWS,South San Juan
Cascade #2,8920,72,73,44,-,-,-,-,-,0.10,0.70,-,-,-,-,0.00,SNOTEL,South San Juan
KC5EVE-14 Durango,8950,84,84,53,42,23,3,124,-,-,-,-,-,-,-,-,APRSWXNET,South San Juan
Scotch Creek,9100,69,72,37,-,-,-,-,-,0.00,0.40,-,-,-,-,0.10,SNOTEL,South San Juan
Conejos Rvr Blo Pla,9880,70,70,43,-,-,-,-,-,-,-,-,-,-,-,-,HADS,South San Juan
Mancos,10000,59,65,54,-,-,-,-,-,0.00,0.60,-,-,-,0.0,0.30,SNOTEL,South San Juan
Cumbres Trestle,10040,69,69,42,-,-,2,50,7,0.00,0.50,-,-,-,-,-,SNOTEL,South San Juan
Upper San Juan,10200,64,66,39,-,-,-,-,-,0.00,0.40,-,-,-,2.0,0.10,SNOTEL,South San Juan
Big Bear Park,10400,66,67,53,32,28,9,233,15,-,-,-,-,-,-,-,RAWS,South San Juan
Wolf Creek Pass,10431,67,70,45,34,29,6,180,16,-,-,-,-,-,-,-,CDOT,South San Juan
Spud Mountain,10660,58,64,44,-,-,-,-,-,0.00,0.30,-,-,-,6.0,0.20,SNOTEL,South San Juan
Sharkstooth,10720,63,64,46,-,-,-,-,-,0.00,0.40,-,-,-,0.0,-,SNOTEL,South San Juan
Weminuche Creek,10740,59,62,47,-,-,-,-,-,0.00,0.60,-,-,-,1.0,0.00,SNOTEL,South San Juan
Columbus Basin,10785,59,62,42,-,-,-,-,-,0.00,0.30,-,-,-,-,0.40,SNOTEL,South San Juan
Vallecito,10880,63,63,51,-,-,-,-,-,0.00,0.50,-,-,-,0.0,-,SNOTEL,South San Juan
Wolf Creek Summit,11000,61,64,49,-,-,4,209,9,0.00,0.30,-,-,-,-,0.00,SNOTEL,South San Juan
Lily Pond,11000,59,62,47,-,-,-,-,-,0.00,0.50,-,-,-,4.0,-,SNOTEL,South San Juan
Wager Gulch,11100,61,61,39,-,-,-,-,-,0.00,0.50,-,-,-,1.0,0.00,SNOTEL,South San Juan
Stump Lakes,11200,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.00,SNOTEL,South San Juan
Middle Creek,11250,57,59,40,-,-,-,-,-,0.00,0.20,-,-,-,0.0,-,SNOTEL,South San Juan
Grayback,11620,56,60,45,-,-,-,-,-,0.00,0.40,-,-,-,0.0,-,SNOTEL,South San Juan
Wolf Creek Pass,11759,59,59,45,32,36,13,210,20,-,-,-,-,-,-,-,METAR,South San Juan
Lewis Creek,11847,56,57,48,34,43,5,244,14,-,-,-,-,-,-,-,CAIC,South San Juan
,,,,,,,,,,,,,,,,,,South San Juan
Copper Gulch,7433,80,84,49,33,18,7,36,17,-,-,-,-,-,-,-,RAWS,Sangre
Sand Dunes,8325,78,83,51,36,22,4,323,12,-,-,-,-,-,-,-,RAWS,Sangre
Medano Pass,9649,69,72,41,-,-,-,-,-,0.00,0.40,-,-,-,3.0,-,SNOTEL,Sangre
Apishapa,10000,63,70,50,-,-,-,-,-,0.00,0.40,-,-,-,0.0,-,SNOTEL,Sangre
Whiskey Ck,10220,63,63,39,37,40,1,228,5,0.10,0.30,-,-,-,0.0,-,SNOTEL,Sangre
Culebra #2,10500,64,65,41,-,-,2,188,8,0.00,0.20,-,-,-,0.0,0.10,SNOTEL,Sangre
Ute Creek,10650,60,62,38,-,-,-,-,-,0.00,0.20,-,-,-,0.0,0.00,SNOTEL,Sangre
Hayden Pass,10720,61,66,47,-,-,8,248,20,0.00,0.50,-,-,-,-,-,SNOTEL,Sangre
South Colony,10800,61,65,37,-,-,1,208,7,0.10,0.70,-,-,-,0.0,-,SNOTEL,Sangre
Trinchera,10860,63,65,46,-,-,-,-,-,0.00,0.40,-,-,-,0.0,0.00,SNOTEL,Sangre
,,,,,,,,,,,,,,,,,,Sangre
