Station,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider,Zone
Sunset,8681,-,-,-,-,-,-,-,-,0.00,0.00,-,-,-,-,-,UDFCD,Front Range
Devils Thumb,8689,51,75,41,47,86,4,336,-,-,-,-,-,-,0.4,-,USGS,Front Range
Stillwater Creek,8720,49,73,49,-,-,1,359,6,0.00,0.50,-,-,-,0.0,0.00,SNOTEL,Front Range
0.9 mi W of 15th St,8783,64,76,49,37,38,9,180,19,-,-,-,-,-,-,-,CDOT,Front Range
CW5469 Tabernash,8806,54,77,40,49,84,2,142,5,-,-,-,-,-,-,-,APRSWXNET,Front Range
PSF4 555,8819,69,79,52,38,32,6,40,12,-,-,-,-,-,-,-,RAWS,Front Range
Black Mountain,8920,62,68,47,-,-,-,-,-,0.00,0.10,-,-,-,0.0,0.00,SNOTEL,Front Range
Lily Lake,8963,55,76,48,44,66,4,180,10,-,-,-,-,-,-,-,CDOT,Front Range
Rawah,9020,56,70,46,-,-,-,-,-,0.00,0.30,-,-,-,0.0,0.10,SNOTEL,Front Range
Phantom Valley,9030,47,70,41,-,-,-,-,-,0.00,0.30,-,-,-,0.0,0.00,SNOTEL,Front Range
Ward,9155,58,75,50,33,39,4,0,8,-,-,-,-,-,-,-,CODOT,Front Range
CW5038 Ward,9214,59,75,50,30,34,4,360,15,-,-,-,-,-,-,-,APRSWXNET,Front Range
CW5066 Gilpin Co.,9371,57,74,54,40,52,5,248,10,-,-,-,-,-,-,-,APRSWXNET,Front Range
Pickle Gulch,9380,58,75,49,41,53,8,291,24,-,-,-,-,-,-,-,RAWS,Front Range
Hourglass Lake,9380,53,72,48,41,69,2,59,7,0.00,0.40,-,-,-,1.0,0.10,SNOTEL,Front Range
1.6 mi W of Woodwar,9382,60,74,44,37,41,11,225,20,-,-,-,-,-,-,-,CDOT,Front Range
Bear Lake,9500,46,71,45,-,-,2,346,7,0.00,0.60,-,-,-,0.0,-,SNOTEL,Front Range
Wilkerson Pass,9530,67,76,45,37,33,16,90,20,-,-,-,-,-,-,-,CDOT,Front Range
Ranch Cr Meadow,9532,49,71,42,46,87,1,126,-,-,-,-,-,-,-,0.00,USGS,Front Range
Willow Creek Pass,9540,53,66,39,-,-,2,289,8,0.00,0.30,-,-,-,1.0,0.00,SNOTEL,Front Range
285S195 Kenosha Pas,9557,67,74,33,39,36,11,90,21,-,-,-,-,-,-,-,CDOT,Front Range
Wild Basin,9560,46,74,44,-,-,-,-,-,0.30,0.60,-,-,-,0.0,-,SNOTEL,Front Range
Sawtooth,9620,43,73,43,-,-,-,-,-,0.30,0.70,-,-,-,-,0.10,SNOTEL,Front Range
Roach,9700,57,69,43,-,-,-,-,-,0.00,0.30,-,-,-,0.0,0.00,SNOTEL,Front Range
Lake Eldora,9700,50,71,50,-,-,-,-,-,0.00,0.20,-,-,-,0.0,0.10,SNOTEL,Front Range
Ward_C-1,9701,52,74,38,38,61,5,279,16,0.00,0.00,-,-,-,-,-,UDFCD,Front Range
Crn Site nr Boulder,9829,56,72,40,45,66,-,-,19,-,-,-,-,-,-,-,MesoWest,Front Range
Bakerville,9833,66,74,58,10,11,0,-,0,-,-,-,-,-,-,-,CDOT,Front Range
Niwot,9910,49,70,41,-,-,-,-,-,0.00,0.30,-,-,-,0.0,-,SNOTEL,Front Range
Long Draw Resv,9980,55,66,37,39,63,1,235,6,0.00,0.40,-,-,-,-,0.00,SNOTEL,Front Range
Joe Wright,10120,51,66,41,41,87,2,135,10,0.00,0.50,-,-,-,3.0,0.00,SNOTEL,Front Range
Deadman Hill,10220,56,67,43,-,-,-,-,-,0.00,0.40,-,-,-,0.0,-,SNOTEL,Front Range
Never Summer,10280,53,59,39,-,-,-,-,-,0.00,0.30,-,-,-,0.0,0.00,SNOTEL,Front Range
University Camp,10300,44,68,40,-,-,-,-,-,0.00,0.30,-,-,-,0.0,0.10,SNOTEL,Front Range
Hermans Gulch,10349,58,67,40,35,43,7,225,13,-,-,-,-,-,-,-,CDOT,Front Range
Jones Pass,10400,48,64,42,-,-,-,-,-,0.00,0.40,-,-,-,-,-,SNOTEL,Front Range
Echo Lake,10600,54,62,40,-,-,-,-,-,0.00,0.20,-,-,-,-,0.00,SNOTEL,Front Range
US 6 Loveland Pass,10612,58,66,39,36,43,0,-,0,-,-,-,-,-,-,-,CDOT,Front Range
High Lonesome,10620,42,67,42,-,-,-,-,-,0.10,0.80,-,-,-,1.0,-,SNOTEL,Front Range
Blue Ridge,10646,42,65,42,41,97,2,220,-,-,-,-,-,-,0.3,0.05,USGS,Front Range
Lake Irene,10700,42,63,41,-,-,3,150,14,-,-,-,-,-,-,0.00,SNOTEL,Front Range
Willow Park,10700,44,64,39,-,-,1,11,7,0.00,0.30,-,-,-,0.0,0.20,SNOTEL,Front Range
Cameron Pass,10806,49,65,41,43,78,6,222,-,-,-,-,-,-,0.1,0.00,USGS,Front Range
Arapaho Ridge,10960,48,62,41,-,-,1,156,11,0.00,0.50,-,-,-,0.0,0.00,SNOTEL,Front Range
Jackwhacker Gulch,10960,53,62,40,-,-,-,-,-,0.00,0.00,-,-,-,-,-,SNOTEL,Front Range
Fool Creek,11150,44,63,43,-,-,-,-,-,0.00,0.30,-,-,-,0.0,-,SNOTEL,Front Range
Berthoud Summit,11300,41,60,41,-,-,1,255,7,0.00,0.50,-,-,-,0.0,0.10,SNOTEL,Front Range
Berthoud Pass,11314,43,60,43,39,86,1,111,-,-,-,-,-,-,0.1,-,USGS,Front Range
Loveland Basin,11400,48,63,42,-,-,-,-,-,0.10,0.60,-,-,-,0.0,-,SNOTEL,Front Range
Niwot Ridge Saddle,11566,39,62,39,38,96,22,190,35,-,-,-,-,-,-,-,INTERNET,Front Range
Loveland Pass,11890,46,56,43,30,52,9,253,21,0.00,0.12,-,-,-,-,-,CAIC,Front Range
Berthoud Pass,12490,41,55,36,32,70,25,270,36,-,-,-,-,-,-,-,METAR,Front Range
,,,,,,,,,,,,,,,,,,Front Range
Mc Elroy/Kremmli,7412,64,81,41,50,59,7,110,-,-,-,-,-,-,-,-,METAR,Vail/Summit
SH-9 Sum/Grand CO L,7797,62,82,42,46,54,6,180,10,-,-,-,-,-,-,-,CDOT,Vail/Summit
Elliot Ck Canal nr,7995,61,77,42,45,56,2,46,-,-,-,-,-,-,-,-,MesoWest,Vail/Summit
Beaver Ck Village,8500,54,74,47,-,-,-,-,-,-,-,-,-,-,0.0,0.00,SNOTEL,Vail/Summit
CW9561 Kremmling,8626,59,74,45,52,76,1,350,-,-,-,-,-,-,-,-,APRSWXNET,Vail/Summit
0.5 mi E of Vail -,8776,62,73,44,41,46,1,225,11,-,-,-,-,-,-,-,CDOT,Vail/Summit
0.7 mi W of CO-9 Si,8929,62,62,53,38,41,7,90,10,-,-,-,-,-,-,-,CDOT,Vail/Summit
Middle Fork Camp,8940,57,63,35,-,-,7,0,0,0.00,0.50,-,-,-,0.0,0.30,SNOTEL,Vail/Summit
Dillon 1E,9065,66,83,44,-,-,-,-,-,-,-,-,-,-,-,-,MesoWest,Vail/Summit
Dowd Junction,9068,59,76,45,44,57,3,308,11,-,-,-,-,-,-,-,RAWS,Vail/Summit
0.9 mi W of CO-9 Fr,9134,63,75,40,41,44,3,225,10,-,-,-,-,-,-,-,CDOT,Vail/Summit
1.3 mi W of Frisco,9256,60,75,42,40,48,4,45,9,-,-,-,-,-,-,-,CDOT,Vail/Summit
Keystone,9370,62,74,38,43,49,2,242,6,-,-,-,-,-,-,-,PWS,Vail/Summit
2.4 mi E of Silvert,9390,61,75,44,39,44,7,180,9,-,-,-,-,-,-,-,CDOT,Vail/Summit
Summit Ranch,9400,51,72,37,-,-,-,-,-,0.00,0.50,-,-,-,-,-,SNOTEL,Vail/Summit
Mccoy Park,9480,53,71,47,-,-,-,-,-,-,-,-,-,-,2.0,0.10,SNOTEL,Vail/Summit
0.6 mi E of CO-91 C,9668,61,71,39,40,46,2,315,7,-,-,-,-,-,-,-,CDOT,Vail/Summit
2.9 mi W of EJMT -,10208,55,69,44,37,50,5,225,8,-,-,-,-,-,-,-,CDOT,Vail/Summit
2.1 mi W of Vail Pa,10214,57,69,40,38,49,5,270,8,-,-,-,-,-,-,-,CDOT,Vail/Summit
Breckenridge 5S,10230,66,77,44,-,-,-,-,-,-,-,-,-,-,-,-,HADS,Vail/Summit
Vail Pass - CDOT Ya,10250,49,68,43,40,69,3,352,10,-,-,-,-,-,-,-,CAIC,Vail/Summit
Vail Mountain,10300,49,66,47,-,-,-,-,-,-,-,-,-,-,-,-,SNOTEL,Vail/Summit
Vail SA - Mid-Mtn,10303,55,70,45,41,59,2,344,6,-,-,-,0.1,-,114.0,-,VailResort,Vail/Summit
Elliot Ridge,10520,50,64,43,-,-,-,-,-,0.00,0.30,-,-,-,-,-,SNOTEL,Vail/Summit
Copper Mountain,10550,53,67,39,-,-,-,-,-,-,-,-,-,-,-,0.30,SNOTEL,Vail/Summit
Vail Pass,10582,56,67,36,39,53,7,45,13,-,-,-,-,-,-,-,CDOT,Vail/Summit
1.7 mi W of EJMT -,10610,57,68,45,38,48,5,270,10,-,-,-,-,-,-,-,CDOT,Vail/Summit
Vail SA - China Bow,11031,51,63,45,36,57,5,235,16,-,-,-,-,-,-,-,VailResort,Vail/Summit
Grizzly Peak,11100,54,63,44,-,-,-,-,-,0.00,0.20,-,-,-,0.0,0.10,SNOTEL,Vail/Summit
Vail SA - Blue Sky,11109,51,63,45,37,59,6,276,12,-,-,-,-,-,-,-,VailResort,Vail/Summit
EJT West Portal,11126,53,69,45,36,52,9,225,11,-,-,-,-,-,-,-,CDOT,Vail/Summit
Ptarmigan,11202,51,62,42,40,66,1,334,-,-,-,-,-,-,-,0.09,USGS,Vail/Summit
Vail SA - PHQ,11248,50,61,45,37,60,3,251,11,0.00,0.00,-,-,-,1.8,-,VailResort,Vail/Summit
Boss Basin,11259,50,60,47,38,64,2,338,-,-,-,-,-,-,0.6,-,USGS,Vail/Summit
Fremont Pass,11318,53,62,45,35,51,8,270,11,-,-,-,-,-,-,-,CDOT,Vail/Summit
Hoosier Pass,11400,50,63,43,-,-,3,326,7,0.00,0.50,-,-,-,0.0,-,SNOTEL,Vail/Summit
Fremont Pass,11400,52,61,42,-,-,-,-,-,0.00,0.40,-,-,-,0.0,-,SNOTEL,Vail/Summit
A-Basin SA-MidMtn,11660,48,63,45,37,64,-,-,-,-,-,0.00,0.2,-,0.3,-,A-BasinSA,Vail/Summit
A-Basin SA-Pali,11920,46,61,46,30,54,0,0,0,-,-,-,-,-,-,-,A-BasinSA,Vail/Summit
Copper Mountain,12074,54,64,48,41,62,5,290,-,-,-,-,-,-,-,-,METAR,Vail/Summit
A-Basin SA-Summit,12462,40,59,40,36,84,11,261,20,-,-,-,-,-,-,-,A-BasinSA,Vail/Summit
,,,,,,,,,,,,,,,,,,Vail/Summit
Sargents,8471,71,78,35,-,-,-,-,-,-,-,-,-,-,-,-,MesoWest,Sawatch
Red Deer,8727,75,79,49,29,18,9,203,21,-,-,-,-,-,-,-,RAWS,Sawatch
Needle Creek,8994,72,78,49,36,27,6,293,12,-,-,-,-,-,-,-,RAWS,Sawatch
Poncha Pass,9009,73,74,45,32,22,7,225,17,-,-,-,-,-,-,-,CDOT,Sawatch
Jones Hill,9554,69,76,47,33,26,11,297,20,-,-,-,-,-,-,-,RAWS,Sawatch
Lodge Pole Flats,9641,63,70,39,37,38,6,16,19,-,-,-,-,-,-,-,RAWS,Sawatch
Cottonwood Pass,9827,66,79,55,30,26,8,260,-,-,-,-,-,-,-,-,METAR,Sawatch
Leadville,9928,67,73,38,38,34,5,310,-,-,-,-,-,-,-,-,METAR,Sawatch
Rough And Tumble,10360,65,65,39,-,-,-,-,-,0.00,0.30,-,-,-,0.0,0.40,SNOTEL,Sawatch
Saint Elmo,10540,61,69,39,-,-,-,-,-,0.00,0.60,-,-,-,0.0,0.00,SNOTEL,Sawatch
Michigan Creek,10600,58,66,36,38,54,3,318,10,0.00,0.60,-,-,-,0.0,0.00,SNOTEL,Sawatch
Brumley,10600,57,64,34,-,-,-,-,-,0.10,0.30,-,-,-,-,0.00,SNOTEL,Sawatch
Porphyry Creek,10760,60,65,38,-,-,2,215,7,0.00,0.50,-,-,-,-,0.00,SNOTEL,Sawatch
Buckskin Joe,11150,59,64,40,-,-,-,-,-,0.00,0.30,-,-,-,-,0.10,SNOTEL,Sawatch
Monarch Pass,11301,58,63,48,28,32,0,-,0,-,-,-,-,-,-,-,CDOT,Sawatch
Sargents Mesa,11530,59,62,48,-,-,-,-,-,0.00,0.20,-,-,-,0.0,-,SNOTEL,Sawatch
Monarch Pass,12031,55,61,45,28,35,25,290,32,-,-,-,-,-,-,-,METAR,Sawatch
,,,,,,,,,,,,,,,,,,Sawatch
Silt (7),5369,76,90,55,53,45,2,225,8,-,-,-,-,-,-,-,CODOT,Aspen
Carbondale 0.5 W CO,6134,-,-,-,-,-,-,-,-,-,0.00,-,0.0,-,-,-,CoCoRaHS,Aspen
Basalt-Holland Hill,6639,72,83,46,52,50,6,180,20,-,-,-,-,-,-,-,CDOT,Aspen
Old Snowmass,6879,69,86,30,48,47,8,180,14,-,-,-,-,-,-,-,CDOT,Aspen
Shale Bluffs/Brush,7408,66,80,42,45,47,7,315,18,-,-,-,-,-,-,-,CDOT,Aspen
Ruedi Reservoir,7790,65,78,46,-,-,-,-,-,-,-,-,-,-,-,-,HADS,Aspen
Frying Pan River at,7800,68,79,39,-,-,-,-,-,-,-,-,-,-,-,-,HADS,Aspen
Aspen/Sardy Field,7815,64,78,43,41,43,7,80,17,-,-,-,-,-,-,-,METAR,Aspen
Aspen-Cemetery Lane,7926,64,81,46,42,45,3,180,11,-,-,-,-,-,-,-,CDOT,Aspen
ASPEN 1SE,8014,74,83,43,-,-,-,-,-,-,-,-,-,-,-,-,HADS,Aspen
The Crown,8304,65,78,52,48,54,10,345,22,-,-,-,-,-,-,-,RAWS,Aspen
Nast Lake,8700,64,75,35,-,-,-,-,-,0.00,0.40,-,-,-,4.0,-,SNOTEL,Aspen
McClure Pass,8770,55,70,47,-,-,-,-,-,0.00,0.40,-,-,-,0.0,-,SNOTEL,Aspen
North Lost Trail,9200,49,71,46,-,-,-,-,-,0.10,0.50,-,-,-,1.0,0.10,SNOTEL,Aspen
Kiln,9600,60,69,37,-,-,-,-,-,0.00,0.10,-,-,-,-,-,SNOTEL,Aspen
Blue Gulch Glenwd C,9838,55,69,45,46,71,2,180,4,0.00,0.09,-,-,-,-,-,CDOT,Aspen
Chapman Tunnel,10110,58,66,38,-,-,-,-,-,0.00,0.30,-,-,-,-,-,SNOTEL,Aspen
